onset,duration,description
2024-17-04 00:00:00,30.0,W
2024-17-04 00:00:30,30.0,W
2024-17-04 00:01:00,30.0,W
2024-17-04 00:01:30,30.0,W
2024-17-04 00:02:00,30.0,W
2024-17-04 00:02:30,30.0,W
2024-17-04 00:03:00,30.0,W
2024-17-04 00:03:30,30.0,W
2024-17-04 00:04:00,30.0,W
2024-17-04 00:04:30,30.0,W
2024-17-04 00:05:00,30.0,W
2024-17-04 00:05:30,30.0,1
2024-17-04 00:06:00,30.0,1
2024-17-04 00:06:30,30.0,1
2024-17-04 00:07:00,30.0,1
2024-17-04 00:07:30,30.0,1
2024-17-04 00:08:00,30.0,1
2024-17-04 00:08:30,30.0,1
2024-17-04 00:09:00,30.0,2
2024-17-04 00:09:30,30.0,2
2024-17-04 00:10:00,30.0,2
2024-17-04 00:10:30,30.0,2
2024-17-04 00:11:00,30.0,2
2024-17-04 00:11:30,30.0,2
2024-17-04 00:12:00,30.0,2
2024-17-04 00:12:30,30.0,2
2024-17-04 00:13:00,30.0,2
2024-17-04 00:13:30,30.0,2
2024-17-04 00:14:00,30.0,2
2024-17-04 00:14:30,30.0,2
2024-17-04 00:15:00,30.0,2
2024-17-04 00:15:30,30.0,2
2024-17-04 00:16:00,30.0,2
2024-17-04 00:16:30,30.0,2
2024-17-04 00:17:00,30.0,2
2024-17-04 00:17:30,30.0,2
2024-17-04 00:18:00,30.0,2
2024-17-04 00:18:30,30.0,2
2024-17-04 00:19:00,30.0,2
2024-17-04 00:19:30,30.0,2
2024-17-04 00:20:00,30.0,3
2024-17-04 00:20:30,30.0,3
2024-17-04 00:21:00,30.0,3
2024-17-04 00:21:30,30.0,3
2024-17-04 00:22:00,30.0,3
2024-17-04 00:22:30,30.0,3
2024-17-04 00:23:00,30.0,3
2024-17-04 00:23:30,30.0,3
2024-17-04 00:24:00,30.0,3
2024-17-04 00:24:30,30.0,3
2024-17-04 00:25:00,30.0,3
2024-17-04 00:25:30,30.0,3
2024-17-04 00:26:00,30.0,3
2024-17-04 00:26:30,30.0,3
2024-17-04 00:27:00,30.0,3
2024-17-04 00:27:30,30.0,3
2024-17-04 00:28:00,30.0,3
2024-17-04 00:28:30,30.0,3
2024-17-04 00:29:00,30.0,3
2024-17-04 00:29:30,30.0,3
2024-17-04 00:30:00,30.0,3
2024-17-04 00:30:30,30.0,3
2024-17-04 00:31:00,30.0,3
2024-17-04 00:31:30,30.0,3
2024-17-04 00:32:00,30.0,3
2024-17-04 00:32:30,30.0,3
2024-17-04 00:33:00,30.0,3
2024-17-04 00:33:30,30.0,3
2024-17-04 00:34:00,30.0,3
2024-17-04 00:34:30,30.0,3
2024-17-04 00:35:00,30.0,3
2024-17-04 00:35:30,30.0,3
2024-17-04 00:36:00,30.0,3
2024-17-04 00:36:30,30.0,3
2024-17-04 00:37:00,30.0,3
2024-17-04 00:37:30,30.0,3
2024-17-04 00:38:00,30.0,3
2024-17-04 00:38:30,30.0,3
2024-17-04 00:39:00,30.0,3
2024-17-04 00:39:30,30.0,3
2024-17-04 00:40:00,30.0,3
2024-17-04 00:40:30,30.0,3
2024-17-04 00:41:00,30.0,3
2024-17-04 00:41:30,30.0,3
2024-17-04 00:42:00,30.0,3
2024-17-04 00:42:30,30.0,3
2024-17-04 00:43:00,30.0,3
2024-17-04 00:43:30,30.0,3
2024-17-04 00:44:00,30.0,3
2024-17-04 00:44:30,30.0,3
2024-17-04 00:45:00,30.0,2
2024-17-04 00:45:30,30.0,2
2024-17-04 00:46:00,30.0,2
2024-17-04 00:46:30,30.0,2
2024-17-04 00:47:00,30.0,2
2024-17-04 00:47:30,30.0,2
2024-17-04 00:48:00,30.0,2
2024-17-04 00:48:30,30.0,2
2024-17-04 00:49:00,30.0,2
2024-17-04 00:49:30,30.0,2
2024-17-04 00:50:00,30.0,2
2024-17-04 00:50:30,30.0,R
2024-17-04 00:51:00,30.0,R
2024-17-04 00:51:30,30.0,R
2024-17-04 00:52:00,30.0,R
2024-17-04 00:52:30,30.0,R
2024-17-04 00:53:00,30.0,R
2024-17-04 00:53:30,30.0,R
2024-17-04 00:54:00,30.0,R
2024-17-04 00:54:30,30.0,R
2024-17-04 00:55:00,30.0,R
2024-17-04 00:55:30,30.0,R
2024-17-04 00:56:00,30.0,R
2024-17-04 00:56:30,30.0,R
2024-17-04 00:57:00,30.0,R
2024-17-04 00:57:30,30.0,R
2024-17-04 00:58:00,30.0,R
2024-17-04 00:58:30,30.0,R
2024-17-04 00:59:00,30.0,R
2024-17-04 00:59:30,30.0,R
2024-17-04 01:00:00,30.0,R
2024-17-04 01:00:30,30.0,R
2024-17-04 01:01:00,30.0,R
2024-17-04 01:01:30,30.0,R
2024-17-04 01:02:00,30.0,R
2024-17-04 01:02:30,30.0,R
2024-17-04 01:03:00,30.0,R
2024-17-04 01:03:30,30.0,R
2024-17-04 01:04:00,30.0,R
2024-17-04 01:04:30,30.0,R
2024-17-04 01:05:00,30.0,R
2024-17-04 01:05:30,30.0,W
2024-17-04 01:06:00,30.0,W
2024-17-04 01:06:30,30.0,W
2024-17-04 01:07:00,30.0,1
2024-17-04 01:07:30,30.0,1
2024-17-04 01:08:00,30.0,1
2024-17-04 01:08:30,30.0,1
2024-17-04 01:09:00,30.0,1
2024-17-04 01:09:30,30.0,1
2024-17-04 01:10:00,30.0,1
2024-17-04 01:10:30,30.0,1
2024-17-04 01:11:00,30.0,1
2024-17-04 01:11:30,30.0,2
2024-17-04 01:12:00,30.0,2
2024-17-04 01:12:30,30.0,2
2024-17-04 01:13:00,30.0,2
2024-17-04 01:13:30,30.0,2
2024-17-04 01:14:00,30.0,2
2024-17-04 01:14:30,30.0,2
2024-17-04 01:15:00,30.0,2
2024-17-04 01:15:30,30.0,2
2024-17-04 01:16:00,30.0,2
2024-17-04 01:16:30,30.0,2
